feature
EXPERIENCE_YEARS
DURATION_DAYS
IS_REMOTE
AVG_SALARY
STATE_California
STATE_Texas
STATE_Virginia
STATE_New York
STATE_Illinois
STATE_Florida
STATE_Ohio
STATE_Georgia
STATE_North Carolina
STATE_New Jersey
